Round,a\b,G,C,P
,C,10,20,3
,P,11,33,12

Round 319
,G,2,11,0
,C,9,22,3
,P,9,36,8

Round 320
,G,0,11,0
,C,10,22,1
,P,1,44,11

Round 321
,G,0,10,14
,C,11,17,10
,P,19,13,6

Round 322
,G,4,19,6
,C,9,10,7
,P,9,27,9

Round 323
,G,3,8,13
,C,3,14,10
,P,10,25,14

Round 324
,G,3,12,13
,C,2,14,6
,P,17,24,9

Round 325
,G,3,15,10
,C,3,15,7
,P,9,32,6

Round 326
,G,5,19,6
,C,6,12,9
,P,4,30,9

Round 327
,G,4,15,7
,C,6,13,7
,P,16,18,14

Round 328
,G,1,14,7
,C,5,15,12
,P,11,23,12

Round 329
,G,5,12,9
,C,5,12,9
,P,8,31,9

Round 330
,G,4,21,4
,C,2,10,4
,P,15,33,7

Round 331
,G,0,31,3
,C,0,18,13
,P,12,22,1

Round 332
,G,1,23,4
,C,7,11,13
,P,12,25,4

Round 333
,G,0,17,2
,C,0,16,9
,P,9,44,3

Round 334
,G,4,24,6
,C,7,11,17
,P,9,20,2

Round 335
,G,4,15,17
,C,9,10,11
,P,6,17,11

Round 336
,G,9,25,16
,C,24,8,1
,P,16,0,1

Round 337
,G,1,10,1
,C,3,15,8
,P,10,45,7

Round 338
,G,0,13,0
,C,2,29,1
,P,2,50,3

Round 339
,G,1,2,0
,C,1,7,5
,P,6,73,5

Round 340
,G,0,17,0
,C,0,33,1
,P,0,49,0

Round 341
,G,1,18,3
,C,20,21,7
,P,8,20,2

Round 342
,G,2,7,1
,C,7,38,5
,P,8,32,0

Round 343
,G,2,15,2
,C,8,29,7
,P,10,25,2

Round 344
,G,2,14,9
,C,13,20,10
,P,17,14,1

Round 345
,G,1,12,4
,C,10,31,7
,P,12,23,0

Round 346
,G,2,10,1
,C,11,35,8
,P,8,24,1

Round 347
,G,1,17,1
,C,18,25,9
,P,5,23,1

Round 348
,G,5,20,5
,C,6,20,10
,P,9,21,4

Round 349
,G,1,19,7
,C,16,16,10
,P,10,16,5

Round 350
,G,0,27,4
,C,12,27,2
,P,2,26,0

Round 351
,G,6,11,0
,C,23,16,6
,P,11,27,0

Round 352
,G,8,16,3
,C,12,28,5
,P,11,16,1

Round 353
,G,1,20,0
,C,20,34,1
,P,11,13,0

Round 354
,G,1,3,5
,C,9,42,2
,P,37,1,0

Round 355
,G,9,17,6
,C,24,10,2
,P,7,25,0

Round 356
,G,8,11,2
,C,36,15,2
,P,7,18,1

Round 357
,G,3,4,1
,C,11,39,2
,P,36,4,0

Round 358
,G,13,3,0
,C,28,26,2
,P,7,21,0

Round 359
,G,9,13,3
,C,20,28,2
,P,7,17,1

Round 360
,G,9,13,1
,C,17,20,4
,P,9,24,3

Round 361
,G,2,3,2
,C,64,7,1
,P,7,14,0

Round 362
,G,34,1,1
,C,21,19,3
,P,1,19,1

Round 363
,G,18,15,0
,C,15,13,0
,P,16,23,0

Round 364
,G,9,7,0
,C,22,5,2
,P,22,32,1

Round 365
,G,1,4,0
,C,24,5,0
,P,25,41,0

Round 366
,G,30,4,0
,C,22,17,1
,P,4,22,0

Round 367
,G,9,10,2
,C,16,17,4
,P,22,20,0

Round 368
,G,4,6,0
,C,36,8,1
,P,16,28,1

Round 369
,G,6,6,0
,C,23,7,1
,P,22,35,0

Round 370
,G,0,6,4
,C,19,7,5
,P,26,33,0

Round 371
,G,5,24,5
,C,18,17,4
,P,8,18,1

Round 372
,G,14,10,1
,C,18,24,2
,P,14,17,0

Round 373
,G,1,5,1
,C,77,5,2
,P,5,3,1

Round 374
,G,4,5,0
,C,75,6,2
,P,1,6,1

Round 375
,G,0,19,2
,C,37,10,1
,P,10,18,3

Round 376
,G,8,10,11
,C,25,13,9
,P,13,11,0

Round 377
,G,2,24,1
,C,25,12,0
,P,7,26,3

Round 378
,G,4,15,7
,C,20,14,4
,P,23,13,0

Round 379
,G,4,19,4
,C,21,19,2
,P,18,13,0

Round 380
,G,4,10,1
,C,44,11,3
,P,11,14,2

Round 381
,G,7,5,0
,C,29,14,4
,P,16,25,0

Round 382
,G,3,1,0
,C,76,11,1
,P,3,5,0

Round 383
,G,7,2,2
,C,58,13,0
,P,5,13,0

Round 384
,G,7,12,2
,C,19,28,3
,P,14,15,0

Round 385
,G,0,6,5
,C,30,22,1
,P,12,24,0

Round 386
,G,7,12,0
,C,20,23,0
,P,9,27,2

Round 387
,G,4,5,0
,C,56,11,3
,P,10,11,0

Round 388
,G,12,8,0
,C,26,21,1
,P,17,14,1

Round 389
,G,7,3,1
,C,70,7,1
,P,6,4,1

Round 390
,G,10,8,1
,C,33,20,3
,P,14,10,1

Round 391
,G,0,1,3
,C,61,1,2
,P,30,1,1

Round 392
,G,2,4,8
,C,72,4,1
,P,6,3,0

Round 393
,G,4,11,15
,C,22,18,2
,P,21,6,1

Round 394
,G,7,4,9
,C,38,10,4
,P,13,10,5

Round 395
,G,3,15,8
,C,19,18,1
,P,20,15,1

Round 396
,G,9,5,2
,C,37,9,3
,P,21,10,4

Round 397
,G,4,4,5
,C,48,5,3
,P,27,2,2

Round 398
,G,9,6,5
,C,28,15,1
,P,21,13,2

Round 399
,G,11,9,6
,C,18,14,6
,P,19,15,2

Round 400
,G,5,3,14
,C,21,9,4
,P,17,20,7

Round 401
,G,7,15,14
,C,5,30,3
,P,18,7,1

Round 402
,G,0,28,4
,C,20,17,1
,P,16,13,1

Round 403
,G,11,10,8
,C,14,19,4
,P,9,18,7

Round 404
,G,11,7,8
,C,28,18,2
,P,10,15,1

Round 405
,G,0,18,1
,C,18,12,3
,P,19,28,1

Round 406
,G,9,7,2
,C,20,13,5
,P,17,25,2

Round 407
,G,6,10,7
,C,17,16,4
,P,12,26,2

Round 408
,G,1,7,9
,C,19,11,5
,P,23,25,0

Round 409
,G,12,9,15
,C,11,12,7
,P,12,18,4

Round 410
,G,10,18,4
,C,12,17,5
,P,10,18,6

Round 411
,G,2,3,2
,C,83,2,0
,P,2,3,3

Round 412
,G,2,17,6
,C,15,23,7
,P,9,15,6

Round 413
,G,6,11,14
,C,24,15,5
,P,8,13,4

Round 414
,G,4,18,10
,C,15,19,9
,P,7,16,2

Round 415
,G,3,22,7
,C,15,19,8
,P,9,13,4

Round 416
,G,5,14,18
,C,7,15,15
,P,11,15,0

Round 417
,G,5,21,8
,C,16,20,3
,P,14,10,3

Round 418
,G,0,8,15
,C,13,27,6
,P,2,27,2

Round 419
,G,5,19,3
,C,10,21,10
,P,6,20,6

Round 420
,G,10,19,11
,C,15,18,4
,P,2,18,3

Round 421
,G,5,20,9
,C,9,18,10
,P,14,11,4

Round 422
,G,7,27,4
,C,9,15,10
